project_id,district_code,intervention_id,partner,start_date,planned_end_date,actual_end_date,cost_usd,baseline_risk_score,total_delay_days,achieved_outcome_score,realized_risk_reduction,delivered_on_time,achieved_min_outcome,community_engagement_score,post_project_audit_score,post_project_satisfaction_score
P00635,D-074,I14,SunBuild Initiative,2023-05-04,2025-01-23,2025-05-16,975600,85.35,113,53.73,0.168,0,0,42.39,55.55,50.24
P00636,D-038,I01,CommunityFirst,2022-02-09,2023-03-06,2023-05-06,893900,73.23,61,79.98,0.24,0,1,58.59,82.1,71.62
P00637,D-036,I10,CommunityFirst,2021-07-06,2022-07-31,2022-09-22,603100,88.04,53,80.08,0.253,0,1,64.09,83.01,78.68
P00638,D-082,I11,RapidRelief Local,2022-09-26,2023-11-20,2024-02-18,628100,69.19,90,50.42,0.156,0,0,40.36,46.0,45.19
P00639,D-093,I11,RapidRelief Local,2021-09-23,2022-11-17,2023-02-07,831500,54.37,82,59.59,0.167,0,0,59.32,62.49,52.64
P00640,D8,I12,CivicResilience NGO,2022-11-22,2024-03-16,2024-05-14,483700,79.61,59,70.98,0.375,0,1,76.72,79.25,63.7
P00641,D-002,I17,HeatSafe Partners,2021-10-22,2023-03-16,2023-07-11,1529400,70.68,117,60.39,0.253,0,1,45.46,58.7,53.04
P00642,D059,I09,CommunityFirst,2022-02-01,2023-11-23,2024-02-21,419700,54.84,90,73.25,0.428,0,1,67.2,78.67,72.42
P00643,D043,I17,SunBuild Initiative,2021-02-22,2022-07-17,2022-11-06,2029200,55.74,112,46.38,0.09,0,0,45.18,51.31,53.68
P00644,D-105,I03,CommunityFirst,2023-04-21,2025-02-09,2025-04-12,1028700,65.59,62,70.85,0.5,0,1,59.72,70.8,71.84
P00645,D-097,I11,CivicResilience NGO,2021-01-11,2022-03-07,2022-05-20,684000,61.46,74,63.15,0.338,0,1,55.13,68.83,56.23
P00646,D-070,I11,CivicResilience NGO,2022-03-25,2023-05-19,2023-08-23,645800,59.41,96,43.1,0.121,0,0,56.33,42.67,43.72
P00647,D-119,I10,BlueRiver Implementers,2022-08-23,2023-09-17,2023-10-18,533700,59.27,31,77.27,0.22,1,1,60.09,83.0,70.35
P00648,D-094,I16,SunBuild Initiative,2022-06-28,2023-12-20,2024-03-21,800900,73.66,92,49.59,0.072,0,0,46.56,52.3,45.07
P00649,D-047,I11,CommunityFirst,2022-07-25,2023-09-18,2023-12-03,857100,64.88,76,66.01,0.377,0,1,49.94,63.93,62.77
P00650,D-028,I05,SunBuild Initiative,2022-03-12,2024-01-01,2024-03-23,617800,67.24,82,53.41,0.108,0,0,54.64,58.09,54.76
P00651,D-013,I03,InfraTrust Consortium,2022-07-07,2024-04-27,2024-08-05,1232400,62.67,100,85.08,0.5,0,1,53.0,85.68,74.92
P00652,D-112,I14,CivicResilience NGO,2021-12-18,2023-09-09,2024-01-09,1686400,87.06,122,55.73,0.132,0,0,63.4,58.84,58.28
P00653,D-034,I12,CivicResilience NGO,2023-03-29,2024-07-21,2024-09-10,1439000,75.06,51,71.54,0.424,0,1,69.04,68.79,61.04
P00654,D-087,I02,RapidRelief Local,2022-12-03,2024-01-27,2024-02-13,2007300,75.74,17,63.82,0.277,1,1,66.07,62.27,59.7
P00655,D-086,I14,HeatSafe Partners,2022-08-05,2024-04-26,2024-09-01,1353000,60.99,128,60.8,0.396,0,1,37.98,55.56,59.36
P00656,D-104,I01,CivicResilience NGO,2021-02-27,2022-03-24,2022-06-29,1794800,68.39,97,61.46,0.197,0,1,53.25,61.37,57.84
P00657,D-110,I17,CivicResilience NGO,2021-06-09,2022-11-01,2023-02-14,1290100,63.31,105,42.33,0.077,0,0,46.73,29.91,36.31
P00658,D-025,I04,HeatSafe Partners,2023-08-20,2025-06-10,2025-09-07,1020900,64.07,89,60.01,0.245,0,1,70.99,69.24,71.67
P00659,D-101,I12,HeatSafe Partners,2022-03-11,2023-07-04,2023-07-29,1444700,87.5,25,82.45,0.425,1,1,68.55,80.44,82.84
P00660,D-088,I05,InfraTrust Consortium,2023-07-31,2025-05-21,2025-07-05,624100,75.89,45,70.86,0.436,1,1,56.89,72.45,64.52
P00661,D-054,I06,HeatSafe Partners,2022-01-18,2023-08-11,2023-10-08,668600,55.36,58,66.14,0.5,0,1,77.07,66.62,66.29
P00662,D-120,I18,CommunityFirst,2021-02-15,2022-10-08,2023-01-22,590000,81.5,106,72.55,0.393,0,1,73.3,71.38,68.1
P00663,D-040,I07,HeatSafe Partners,2022-07-10,2023-11-02,2024-01-26,1894500,57.25,85,71.21,0.303,0,1,57.56,75.19,67.06
P00664,D-040,I18,Delta Engineering,2023-07-04,2025-02-23,2025-07-23,770300,62.64,150,71.44,0.262,0,1,38.52,67.0,55.08
P00665,D-026,I07,Delta Engineering,2021-10-01,2023-01-24,2023-04-10,1479000,67.48,76,70.17,0.277,0,1,40.82,73.64,48.88
P00666,D-001,I05,CivicResilience NGO,2021-06-20,2023-04-11,2023-08-09,677400,68.65,120,60.62,0.288,0,1,39.8,59.62,46.51
P00667,D-063,I16,RapidRelief Local,2022-07-26,2024-01-17,2024-04-26,1362800,70.75,100,56.2,0.071,0,0,33.61,57.17,58.96
P00668,D-052,I08,CommunityFirst,2022-07-26,2024-02-16,2024-04-24,647900,60.36,68,77.0,0.444,0,1,66.9,78.01,73.89
P00669,D-052,I02,InfraTrust Consortium,2022-12-07,2024-01-31,2024-03-01,1756600,70.64,30,76.08,0.35,1,1,65.46,72.31,75.49
P00670,D-113,I07,BlueRiver Implementers,2021-06-22,2022-10-15,2023-01-18,1499000,64.6,95,68.0,0.321,0,1,57.53,73.73,56.09
P00671,D-025,I13,SunBuild Initiative,2023-02-10,2024-10-02,2024-12-15,2028000,61.56,74,63.42,0.228,0,1,57.25,65.52,59.26
P00672,D-006,I16,CommunityFirst,2021-03-09,2022-08-31,2022-12-15,687600,96.09,106,72.46,0.338,0,1,65.78,80.43,72.39
P00673,D-056,I17,InfraTrust Consortium,2022-07-09,2023-12-01,2024-03-07,1347300,46.67,97,91.73,0.381,0,1,75.64,92.6,85.29
P00674,D-021,I11,GreenWorks Alliance,2023-11-17,2025-01-10,2025-02-26,712400,80.48,47,64.16,0.376,0,1,62.58,65.21,59.51
P00675,D-001,I08,Delta Engineering,2022-09-16,2024-04-08,2024-07-31,504700,76.27,114,62.09,0.375,0,1,50.88,58.4,53.92
P00676,D-082,I04,BlueRiver Implementers,2024-01-03,2025-10-24,2025-12-23,740900,76.13,60,50.96,0.135,0,0,50.55,52.26,48.4
P00677,D-093,I08,CommunityFirst,2021-12-20,2023-07-13,2023-10-30,490700,62.38,109,58.88,0.211,0,0,70.27,53.76,63.14
P00678,D-054,I12,SunBuild Initiative,2022-07-22,2023-11-14,2024-02-13,1705900,66.06,91,48.96,0.075,0,0,44.4,46.98,47.46
P00679,D-115,I11,SunBuild Initiative,2021-08-27,2022-10-21,2022-12-18,856900,85.27,58,69.12,0.228,0,1,26.38,70.55,47.73
P00680,D-091,I05,HeatSafe Partners,2023-03-24,2025-01-12,2025-04-24,773800,56.78,102,57.32,0.132,0,0,63.35,52.34,57.86
P00681,D-119,I08,Delta Engineering,2021-11-21,2023-06-14,2023-11-01,588500,61.96,140,47.55,0.057,0,0,49.04,49.38,50.7
P00682,D-023,I02,GreenWorks Alliance,2021-03-16,2022-05-10,2022-07-05,2274700,86.74,56,62.62,0.267,0,1,32.23,62.62,48.59
P00683,D-035,I04,RapidRelief Local,2021-01-25,2022-11-16,2023-03-15,473200,48.69,119,56.47,0.103,0,0,55.68,57.47,52.91
P00684,D-078,I05,HydroBuild Co,2022-01-11,2023-11-02,2024-02-02,827300,69.3,92,63.34,0.32,0,1,65.98,58.54,66.51
P00685,D-078,I06,CommunityFirst,2022-06-10,2024-01-01,2024-02-11,784300,80.34,41,81.03,0.5,1,1,88.54,85.37,82.79
P00686,D-018,I11,CivicResilience NGO,2022-08-18,2023-10-12,2023-12-06,253100,71.04,55,67.13,0.332,0,1,66.82,65.74,66.06
P00687,D16,I06,BlueRiver Implementers,2021-06-27,2023-01-18,2023-04-07,710200,50.25,79,48.95,0.22,0,0,54.88,47.02,53.65
P00688,D-039,I10,RapidRelief Local,2022-10-08,2023-11-02,2023-11-12,429000,82.9,10,72.92,0.188,1,1,63.7,74.14,65.52
P00689,D-110,I13,GreenWorks Alliance,2021-10-26,2023-06-18,2023-09-30,1950000,54.89,104,46.86,0.098,0,0,48.61,52.07,44.51
P00690,D-029,I16,GreenWorks Alliance,2022-03-23,2023-09-14,2023-12-25,1219900,72.71,102,56.86,0.082,0,0,33.3,58.18,49.51
P00691,D-016,I14,SunBuild Initiative,2022-02-05,2023-10-28,2024-02-06,1181100,57.14,101,50.92,0.108,0,0,65.22,50.47,54.47
P00692,D-109,I05,HydroBuild Co,2024-01-08,2025-10-29,2026-01-17,259500,70.03,80,65.83,0.379,0,1,51.01,60.51,59.58
P00693,D-028,I04,HydroBuild Co,2021-05-03,2023-02-22,2023-06-12,975200,71.13,110,58.67,0.077,0,0,50.3,60.21,58.06
P00694,D-061,I03,HeatSafe Partners,2023-02-09,2024-11-30,2025-02-18,777900,59.24,80,66.54,0.428,0,1,64.62,67.79,64.0
P00695,D-076,I14,RapidRelief Local,2022-09-21,2024-06-12,2024-09-22,1991000,84.68,102,54.88,0.115,0,0,57.39,64.25,56.57
P00696,D-095,I04,GreenWorks Alliance,2022-11-27,2024-09-17,2024-11-23,476100,77.87,67,66.33,0.215,0,1,71.75,67.4,69.19
P00697,D-038,I11,InfraTrust Consortium,2023-05-04,2024-06-27,2024-08-01,477800,72.13,35,81.74,0.434,1,1,82.12,86.72,84.63
P00698,D-035,I05,BlueRiver Implementers,2022-02-04,2023-11-26,2024-03-02,640100,39.57,97,55.59,0.175,0,0,58.45,53.01,52.83
P00699,D-020,I15,HydroBuild Co,2021-01-05,2022-03-01,2022-06-25,1102100,68.14,116,67.11,0.405,0,1,58.75,71.35,69.03
P00700,D-082,I07,HydroBuild Co,2024-01-14,2025-05-08,2025-06-26,1427700,78.91,49,72.16,0.298,0,1,51.36,68.24,69.62
P00701,D-116,I14,RapidRelief Local,2023-01-29,2024-10-20,2025-02-23,959500,60.68,126,57.83,0.166,0,0,47.76,51.41,52.38
P00702,D-108,I10,HydroBuild Co,2022-03-24,2023-04-18,2023-05-23,610200,92.01,35,64.28,0.246,1,1,44.47,64.62,53.45
P00703,D-095,I12,BlueRiver Implementers,2023-07-30,2024-11-21,2025-02-02,1895200,80.47,73,76.15,0.427,0,1,68.12,81.79,77.75
P00704,D-028,I07,BlueRiver Implementers,2023-03-16,2024-07-08,2024-10-09,1735800,76.57,93,64.72,0.322,0,1,55.26,66.51,53.49
P00705,D-110,I13,BlueRiver Implementers,2021-10-26,2023-06-18,2023-11-17,1930800,69.5,152,55.45,0.09,0,0,53.66,58.33,66.9
P00706,D-076,I07,GreenWorks Alliance,2022-05-14,2023-09-06,2023-12-08,1245900,72.26,93,39.78,0.112,0,0,52.36,36.54,43.61
P00707,D-059,I10,CivicResilience NGO,2021-12-16,2023-01-10,2023-02-24,543300,52.85,45,66.72,0.177,1,1,63.15,67.51,72.35
P00708,D-015,I11,GreenWorks Alliance,2021-01-20,2022-03-16,2022-06-14,794100,83.16,90,68.37,0.29,0,1,52.19,64.18,57.27
P00709,D11,I08,GreenWorks  Alliance,2021-03-22,2022-10-13,2023-03-07,840700,66.87,145,56.29,0.14,0,0,41.26,52.64,48.43
P00710,D-065,I04,CommunityFirst,2023-08-14,2025-06-04,2025-09-12,680600,59.55,100,76.66,0.286,0,1,70.46,70.24,70.48
P00711,D-114,I09,BlueRiver Implementers,2023-10-13,2025-08-03,2026-01-04,679600,53.98,154,55.91,0.153,0,0,57.25,55.11,59.61
P00712,D-033,I12,BlueRiver Implementers,2023-11-12,2025-03-06,2025-04-18,1012500,86.81,43,77.42,0.44,1,1,68.51,80.0,69.19
P00713,D-081,I04,SunBuild Initiative,2022-02-24,2023-12-16,2024-03-16,583400,61.11,91,62.06,0.121,0,1,44.63,58.26,57.85
P00714,D-049,I02,HydroBuild Co,2021-12-21,2023-02-14,2023-04-01,1985400,76.77,46,61.09,0.255,0,1,32.18,60.71,50.54
P00715,D 030,I06,SunBuild Initiative,2021-05-03,2022-11-24,2023-02-23,518300,69.21,91,29.56,0.135,0,0,37.6,28.82,25.19
P00716,D-032,I03,SunBuild Initiative,2022-11-07,2024-08-28,2024-12-06,1047300,75.82,100,56.82,0.061,0,0,35.02,51.38,44.58
P00717,D-015,I08,SunBuild Initiative,2023-05-17,2024-12-07,2025-04-14,552400,81.1,128,30.39,0.128,0,0,43.11,33.66,40.43
P00718,D-069,I06,CommunityFirst,2021-05-10,2022-12-01,2023-02-24,648500,69.07,85,67.94,0.5,0,1,68.4,72.7,71.3
P00719,D-068,I01,HeatSafe Partners,2021-05-29,2022-06-23,2022-11-05,1449200,65.51,135,65.95,0.208,0,1,62.88,63.17,54.94
P00720,D-062,I09,GreenWorks Alliance,2022-03-31,2024-01-20,2024-05-24,733200,47.47,125,64.87,0.295,0,1,50.44,64.24,54.91
P00721,D-063,I05,HydroBuild Co,2021-09-15,2023-07-07,2023-11-28,428800,68.97,144,54.04,0.156,0,0,67.31,51.38,56.57
P00722,D-074,I18,CivicResilience NGO,2023-09-12,2025-05-04,2025-08-15,1055900,92.73,103,64.41,0.295,0,1,57.9,61.72,63.9
P00723,D-068,I06,CivicResilience NGO,2022-12-15,2024-07-07,2024-08-11,994400,69.22,35,64.68,0.5,1,1,57.32,64.63,70.64
P00724,D-071,I02,CivicResilience NGO,2021-08-10,2022-10-04,2022-11-25,1606700,100.0,52,46.49,0.112,0,0,41.77,38.03,45.22
P00725,D-051,I17,InfraTrust Consortium,2023-04-07,2024-08-29,2024-10-07,1098300,57.93,39,85.9,0.282,1,1,60.34,83.21,72.48
P00726,D-030,I17,HydroBuild Co,2023-05-30,2024-10-21,2025-01-05,1449400,57.67,76,71.12,0.293,0,1,57.87,75.16,68.31
P00727,D-116,I02,HydroBuild Co,2023-01-06,2024-03-01,2024-03-27,1303700,55.95,26,71.5,0.218,1,1,43.5,67.04,60.46
P00728,D-050,I11,HeatSafe Partners,2021-07-05,2022-08-29,2022-12-11,884200,80.22,104,65.78,0.405,0,1,65.07,67.74,65.36
P00729,D-008,I17,HeatSafe Partners,2021-12-21,2023-05-15,2023-08-18,1298700,89.23,95,62.74,0.241,0,1,58.67,62.54,57.48
P00730,D-028,I16,GreenWorks Alliance,2022-04-13,2023-10-05,2024-02-05,1143300,78.1,123,62.54,0.25,0,1,65.05,68.82,66.14
P00731,D-101,I15,CommunityFirst,2023-06-03,2024-07-27,2024-10-04,1486400,84.75,69,63.05,0.451,0,1,48.42,62.66,63.15
P00732,D-057,I16,GreenWorks Alliance,2021-06-10,2022-12-02,2023-03-24,1160800,68.03,112,63.97,0.327,0,1,77.04,64.0,65.4
P00733,D-013,I04,SunBuild Initiative,2022-02-28,2023-12-20,2024-04-06,540200,54.63,108,47.97,0.074,0,0,53.35,47.7,53.33
P00734,D-111,I05,GreenWorks Alliance,2023-02-03,2024-11-24,2025-03-10,851000,67.4,106,47.9,0.111,0,0,63.36,49.18,66.07
P00735,D 094,I12,HydroBuild Co,2023-03-28,2024-07-20,2024-09-24,1558200,76.65,66,65.45,0.434,0,1,70.58,65.25,71.01
P00736,D-045,I18,CommunityFirst,2022-11-29,2024-07-21,2024-10-24,739200,75.09,95,63.2,0.363,0,1,72.11,67.45,71.5
P00737,D-089,I13,HydroBuild Co,2021-03-18,2022-11-08,2023-04-05,1251800,50.31,148,46.64,0.091,0,0,64.21,46.88,58.34
P00738,D-027,I04,BlueRiver Implementers,2021-02-27,2022-12-19,2023-03-22,616600,60.76,93,54.88,0.061,0,0,56.21,56.9,57.08
P00739,D-120,I10,Delta Engineering,2021-03-12,2022-04-06,2022-05-15,256600,88.16,39,72.73,0.252,1,1,55.82,73.65,71.46
P00740,D-061,I16,CommunityFirst,2023-07-20,2025-01-10,2025-03-16,732000,64.4,65,78.82,0.347,0,1,52.83,85.87,60.8
P00741,D-088,I13,HydroBuild Co,2024-01-25,2025-09-16,2026-01-18,1701200,88.52,124,65.34,0.287,0,1,65.57,72.9,67.97
P00742,D-016,I05,RapidRelief Local,2022-05-08,2024-02-27,2024-05-05,703600,47.42,68,69.47,0.318,0,1,56.17,65.22,60.48
P00743,D-087,I17,BlueRiver Implementers,2023-11-22,2025-04-15,2025-07-25,1353500,77.02,101,90.69,0.264,0,1,59.66,92.7,69.95
P00744,D019,I11,CivicResilience  NGO,2022-02-23,2023-04-19,2023-06-28,539100,80.37,70,72.58,0.348,0,1,61.41,71.96,61.78
P00745,D-021,I07,HydroBuild Co,2022-01-15,2023-05-10,2023-07-21,990600,83.87,72,64.05,0.28,0,1,51.79,65.99,58.18
P00746,D-066,I13,GreenWorks Alliance,2021-11-09,2023-07-02,2023-11-06,1178100,79.59,127,66.16,0.26,0,1,36.26,64.92,60.62
P00747,D 039,I12,CivicResilience NGO,2021-12-07,2023-04-01,2023-06-04,1349100,74.86,64,79.6,0.325,0,1,69.14,80.53,74.26
P00748,D-118,I14,InfraTrust Consortium,2023-01-13,2024-10-04,2025-01-05,1400900,64.77,93,74.63,0.447,0,1,54.82,74.49,65.51
P00749,D-008,I14,InfraTrust  Consortium,2022-05-22,2024-02-11,2024-04-24,1225600,78.71,73,62.67,0.406,0,1,70.82,66.61,62.19
P00750,D-049,I08,CivicResilience NGO,2021-11-25,2023-06-18,2023-10-12,532800,73.11,116,62.84,0.335,0,1,55.16,60.12,62.9
P00751,D-087,I15,HeatSafe Partners,2021-02-06,2022-04-02,2022-07-22,1351800,69.77,111,57.51,0.162,0,0,64.94,56.48,45.84
P00752,D-065,I05,InfraTrust Consortium,2022-05-08,2024-02-27,2024-05-29,706000,52.57,92,63.25,0.363,0,1,60.6,58.32,64.18
P00753,D-046,I04,InfraTrust Consortium,2021-10-31,2023-08-22,2023-11-08,933400,76.18,78,89.24,0.267,0,1,69.31,93.71,78.82
P00754,D-100,I17,InfraTrust Consortium,2021-07-29,2022-12-21,2023-02-03,1943200,80.21,44,67.62,0.255,1,1,43.55,67.14,61.83
P00755,D-019,I07,RapidRelief Local,2021-10-19,2023-02-11,2023-05-16,944700,70.15,94,45.49,0.086,0,0,49.71,47.21,51.54
P00756,D-019,I11,CivicResilience NGO,2021-01-18,2022-03-14,2022-06-13,603900,74.89,91,58.73,0.113,0,0,51.75,53.8,62.5
P00757,D-001,I08,Delta Engineering,2023-02-12,2024-09-04,2024-11-26,469500,77.1,83,57.38,0.183,0,0,48.92,55.04,59.44
P00758,D-117,I02,RapidRelief  Local,2021-11-25,2023-01-19,2023-04-03,1009600,69.88,74,64.66,0.19,0,1,46.04,63.3,62.16
P00759,D-094,I02,CivicResilience NGO,2022-06-01,2023-07-26,2023-09-14,1432200,69.83,50,53.99,0.132,0,0,59.34,53.75,55.16
P00760,D-049,I16,HeatSafe Partners,2023-05-20,2024-11-10,2025-02-12,1048200,65.6,94,55.11,0.112,0,0,58.98,53.78,58.8
P00761,D-059,I11,SunBuild Initiative,2023-02-22,2024-04-17,2024-06-19,1022800,52.89,63,56.76,0.065,0,0,49.41,56.14,51.91
P00762,D-110,I02,HeatSafe Partners,2022-10-24,2023-12-18,2024-01-24,1577100,61.19,37,68.23,0.287,1,1,58.64,71.81,62.48
P00763,D-065,I01,CivicResilience NGO,2022-01-30,2023-02-24,2023-05-23,1547300,61.94,88,50.07,0.093,0,0,49.5,43.59,50.76
P00764,D072,I09,HeatSafe Partners,2023-04-29,2025-02-17,2025-06-23,860600,85.99,126,57.68,0.163,0,0,51.23,52.08,46.73
P00765,D-005,I16,RapidRelief Local,2021-12-20,2023-06-13,2023-10-01,741400,53.2,110,41.01,0.125,0,0,48.53,39.1,42.34
P00766,D-088,I16,GreenWorks Alliance,2023-04-19,2024-10-10,2024-12-20,1245100,79.79,71,65.56,0.293,0,1,69.72,68.22,71.07
P00767,D-073,I17,GreenWorks Alliance,2023-07-22,2024-12-13,2025-02-20,1964800,90.91,69,71.92,0.264,0,1,52.32,68.61,66.56
P00768,D-043,I16,Delta Engineering,2023-06-18,2024-12-09,2025-03-17,803600,79.79,98,75.75,0.24,0,1,69.67,80.4,79.39
P00769,D-032,I17,SunBuild Initiative,2021-07-10,2022-12-02,2023-03-11,1290700,68.11,99,49.43,0.04,0,0,44.98,52.74,55.74
P00770,D-003,I07,RapidRelief Local,2023-03-29,2024-07-21,2024-11-03,1433900,65.46,105,65.01,0.221,0,1,61.19,61.95,65.1
P00771,D-022,I08,RapidRelief Local,2023-06-09,2024-12-30,2025-05-13,524500,70.06,134,64.0,0.283,0,1,40.94,58.27,50.15
P00772,D-028,I17,InfraTrust Consortium,2023-01-27,2024-06-20,2024-08-18,2477500,71.47,59,72.96,0.325,0,1,54.64,75.63,63.43
P00773,D-094,I10,RapidRelief Local,2022-09-25,2023-10-20,2023-11-14,610800,69.54,25,75.66,0.188,1,1,49.92,72.13,62.26
P00774,D-043,I10,InfraTrust Consortium,2021-09-26,2022-10-21,2022-12-11,372200,50.75,51,75.54,0.299,0,1,72.16,78.19,76.06
P00775,D-116,I09,BlueRiver Implementers,2022-03-13,2024-01-02,2024-04-22,693800,61.63,111,63.57,0.378,0,1,68.42,67.63,69.76
P00776,D-050,I08,CivicResilience NGO,2021-04-05,2022-10-27,2023-03-01,670500,66.19,125,45.67,0.085,0,0,39.35,50.25,42.35
P00777,D-015,I15,CivicResilience NGO,2021-12-20,2023-02-13,2023-05-12,1069300,73.71,88,56.64,0.173,0,0,49.6,59.78,55.93
P00778,D-013,I12,HeatSafe Partners,2021-08-04,2022-11-27,2023-01-11,1255900,67.64,45,72.66,0.428,1,1,57.82,76.26,55.41
P00779,D-044,I05,HeatSafe Partners,2022-09-28,2024-07-19,2024-10-14,810300,88.09,87,71.94,0.401,0,1,62.28,70.76,75.78
P00780,D-002,I10,HeatSafe Partners,2023-04-21,2024-05-15,2024-07-08,459600,69.25,54,64.94,0.21,0,1,44.1,71.39,56.21
P00781,D-020,I09,InfraTrust Consortium,2023-05-07,2025-02-25,2025-06-07,323200,57.94,102,70.06,0.448,0,1,57.33,75.35,58.21
P00782,D-082,I08,HeatSafe Partners,2023-04-19,2024-11-09,2025-01-25,640400,77.26,77,58.54,0.149,0,0,39.24,62.38,59.32
P00783,D-077,I12,BlueRiver Implementers,2022-03-07,2023-06-30,2023-07-29,1418500,73.87,29,60.4,0.39,1,1,73.53,65.94,51.95
P00784,D-111,I07,HydroBuild Co,2022-07-09,2023-11-01,2024-02-08,1028900,65.09,99,76.21,0.315,0,1,65.61,85.48,80.15
P00785,D-061,I01,Delta Engineering,2022-02-11,2023-03-08,2023-05-08,1813500,70.49,61,48.79,0.095,0,0,41.17,51.88,49.46
P00786,D-005,I06,CivicResilience NGO,2023-07-05,2025-01-25,2025-04-07,821900,61.39,72,57.02,0.251,0,0,44.42,57.63,54.38
P00787,D-110,I14,CommunityFirst,2022-08-21,2024-05-12,2024-09-08,1015000,73.76,119,74.45,0.486,0,1,75.6,75.73,67.96
P00788,D-073,I10,SunBuild Initiative,2021-07-27,2022-08-21,2022-10-21,388800,85.93,61,58.77,0.044,0,0,16.26,56.97,45.34
P00789,D-031,I03,GreenWorks Alliance,2023-05-29,2025-03-19,2025-06-13,1219300,68.23,86,54.29,0.197,0,0,58.74,56.82,54.48
P00790,D-098,I11,Delta Engineering,2021-04-23,2022-06-17,2022-10-24,704900,58.42,129,71.12,0.276,0,1,47.08,66.77,64.44
P00791,D-012,I16,BlueRiver Implementers,2022-09-05,2024-02-27,2024-05-31,1239300,64.57,94,58.67,0.106,0,0,69.63,56.89,77.32
P00792,D-100,I17,SunBuild Initiative,2021-01-11,2022-06-05,2022-08-07,1820700,80.03,63,47.36,0.047,0,0,32.2,45.79,40.32
P00793,D-046,I02,SunBuild Initiative,2022-06-14,2023-08-08,2023-09-14,1371100,68.77,37,61.02,0.183,1,1,62.06,63.92,74.88
P00794,D-032,I02,Delta Engineering,2021-07-08,2022-09-01,2022-10-22,1420100,72.66,51,70.33,0.292,0,1,55.64,77.56,67.58
P00795,D 021,I15,BlueRiver Implementers,2022-01-20,2023-03-16,2023-06-15,1003500,79.1,91,65.62,0.451,0,1,55.78,65.61,53.81
P00796,D-105,I17,HydroBuild Co,2023-10-01,2025-02-22,2025-05-16,1495000,65.91,83,68.93,0.302,0,1,50.06,71.57,65.8
P00797,D-067,I05,CivicResilience NGO,2023-12-06,2025-09-26,2025-12-11,740700,86.67,76,63.55,0.36,0,1,69.25,65.06,61.79
P00798,D-106,I01,CommunityFirst,2021-01-21,2022-02-15,2022-05-16,1174700,72.31,90,69.6,0.218,0,1,54.86,60.34,66.67
P00799,D-007,I09,InfraTrust Consortium,2021-12-28,2023-10-19,2024-02-22,1099200,58.54,126,72.83,0.473,0,1,67.23,82.09,68.63
P00800,D-066,I02,CivicResilience NGO,2022-03-12,2023-05-06,2023-06-24,1801700,81.45,49,75.9,0.32,0,1,45.25,74.92,65.77
P00801,D-007,I05,RapidRelief Local,2023-02-21,2024-12-12,2025-03-09,748100,58.05,87,43.46,0.149,0,0,55.81,46.99,55.93
P00802,D-057,I02,GreenWorks Alliance,2022-12-05,2024-01-29,2024-03-22,2156600,71.92,53,68.6,0.209,0,1,67.09,65.35,69.73
P00803,D-004,I08,HydroBuild Co,2021-10-15,2023-05-08,2023-08-10,245700,54.86,94,79.65,0.397,0,1,51.57,81.65,63.85
P00804,D-038,I18,GreenWorks Alliance,2022-02-26,2023-10-19,2024-02-15,1218300,78.68,119,62.67,0.272,0,1,46.88,64.05,52.82
P00805,D-052,I16,Delta Engineering,2022-06-30,2023-12-22,2024-04-02,735700,66.11,102,68.25,0.247,0,1,68.95,70.25,69.45
P00806,D-024,I18,CommunityFirst,2022-01-18,2023-09-10,2024-02-11,925000,85.69,154,72.1,0.338,0,1,69.59,67.98,61.67
P00807,D 009,I13,CivicResilience NGO,2022-06-17,2024-02-07,2024-05-04,2323800,76.72,87,56.09,0.148,0,0,53.17,54.2,52.82
P00808,D-067,I01,HeatSafe Partners,2023-09-02,2024-09-26,2024-12-01,2081000,88.74,66,60.8,0.257,0,1,64.24,64.94,52.73
P00809,D-071,I04,CivicResilience NGO,2021-05-08,2023-02-27,2023-07-12,862100,92.28,135,45.71,0.066,0,0,55.05,54.5,51.89
P00810,D-033,I03,BlueRiver Implementers,2021-05-03,2023-02-22,2023-06-05,1406400,78.22,103,57.43,0.199,0,0,63.79,61.97,62.04
P00811,D-054,I05,CommunityFirst,2023-01-01,2024-10-22,2025-01-19,832500,63.88,89,69.4,0.328,0,1,81.67,66.26,82.17
P00812,D-043,I15,HydroBuild Co,2023-08-14,2024-10-07,2025-01-03,854000,68.36,88,58.61,0.174,0,0,41.72,66.76,48.92
P00813,D-001,I02,HydroBuild Co,2022-05-05,2023-06-29,2023-08-20,1546100,72.63,52,60.59,0.268,0,1,64.43,61.4,60.96
P00814,D-049,I02,InfraTrust Consortium,2021-01-04,2022-02-28,2022-04-18,2900900,71.84,49,81.73,0.356,0,1,52.83,85.46,61.41
P00815,D-119,I06,RapidRelief Local,2023-11-21,2025-06-13,2025-08-01,671600,61.35,49,73.88,0.479,0,1,55.86,72.68,70.91
P00816,D-055,I08,GreenWorks Alliance,2023-10-15,2025-05-07,2025-07-22,658900,62.29,76,56.55,0.112,0,0,69.92,56.33,60.2
P00817,D48,I14,HeatSafe Partners,2022-07-02,2024-03-23,2024-07-04,1382800,89.47,103,82.53,0.428,0,1,61.31,81.96,72.71
P00818,D-073,I10,InfraTrust Consortium,2022-09-24,2023-10-19,2023-11-02,451900,86.79,14,79.67,0.248,1,1,66.44,84.84,69.13
