district_code,district_name,region,country,intervention_id,intervention_name,hazard_focus,cost,risk_reduction,impl_months,delivery_prob,predicted_on_time
D-032,District 032,South,Cordania,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.06961746074471813,0
D-032,District 032,South,Cordania,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.3090155346776543,0
D-032,District 032,South,Cordania,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.011926834523979043,0
D-032,District 032,South,Cordania,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.009930529300889526,0
D-032,District 032,South,Cordania,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.05222039241748815,0
D-032,District 032,South,Cordania,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.01144350861257731,0
D-032,District 032,South,Cordania,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.060201120418247545,0
D-032,District 032,South,Cordania,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.00876161538753255,0
D-033,District 033,East,Belvaria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.0895598460815898,0
D-033,District 033,East,Belvaria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.35105524780826625,0
D-033,District 033,East,Belvaria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.009854697554863448,0
D-033,District 033,East,Belvaria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.013619961545059796,0
D-033,District 033,East,Belvaria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.009137580834389886,0
D-033,District 033,East,Belvaria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.041251629299367626,0
D-033,District 033,East,Belvaria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.06311159119991626,0
D-033,District 033,East,Belvaria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.00894373372605451,0
D-033,District 033,East,Belvaria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.0015678961211052903,0
D-033,District 033,East,Belvaria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.783581820223522,1
D-033,District 033,East,Belvaria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.08168609046090637,0
D-033,District 033,East,Belvaria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.3471022985815258,0
D-033,District 033,East,Belvaria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.014146493221343301,0
D-033,District 033,East,Belvaria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.01178309363295789,0
D-033,District 033,East,Belvaria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.06147239623117564,0
D-033,District 033,East,Belvaria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.013574453087458522,0
D-033,District 033,East,Belvaria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.07076152072458418,0
D-033,District 033,East,Belvaria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.010398406252030742,0
D-034,District 034,South,Belvaria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.10929397052242679,0
D-034,District 034,South,Belvaria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.40290965239131354,0
D-034,District 034,South,Belvaria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.012262688731262482,0
D-034,District 034,South,Belvaria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.016932259968036382,0
D-034,District 034,South,Belvaria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.011372357423005746,0
D-034,District 034,South,Belvaria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.05093677996664662,0
D-034,District 034,South,Belvaria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.07751412773011591,0
D-034,District 034,South,Belvaria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.01113163376848743,0
D-034,District 034,South,Belvaria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.001955008925728673,0
D-034,District 034,South,Belvaria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.8187217021454477,1
D-034,District 034,South,Belvaria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.09987559130715462,0
D-034,District 034,South,Belvaria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.3987315729035557,0
D-034,District 034,South,Belvaria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.017584558414855542,0
D-034,District 034,South,Belvaria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.01465531322054977,0
D-034,District 034,South,Belvaria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.07553101390453754,0
D-034,District 034,South,Belvaria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.016875873459269598,0
D-034,District 034,South,Belvaria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.0867481842293383,0
D-034,District 034,South,Belvaria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.01293751649785298,0
D-035,District 035,West,Azuria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.11331073428521586,0
D-035,District 035,West,Azuria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.4127172702843079,0
D-035,District 035,West,Azuria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.012764470776086626,0
D-035,District 035,West,Azuria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.017621709244483606,0
D-035,District 035,West,Azuria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.011838144271565414,0
D-035,District 035,West,Azuria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.05293627038483824,0
D-035,District 035,West,Azuria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.08046843824717621,0
D-035,District 035,West,Azuria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.011587676666550419,0
D-035,District 035,West,Azuria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.0020358761077190844,0
D-035,District 035,West,Azuria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.8246714369938416,1
D-035,District 035,West,Azuria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.10358646697600152,0
D-035,District 035,West,Azuria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.4085070693056731,0
D-035,District 035,West,Azuria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.01830007360974556,0
D-035,District 035,West,Azuria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.015253488129001916,0
D-035,District 035,West,Azuria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.07841616656763509,0
D-035,District 035,West,Azuria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.017563067803284503,0
D-035,District 035,West,Azuria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.0900200903420647,0
D-035,District 035,West,Azuria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.013466535624316177,0
D-036,District 036,North,Cordania,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.04177042413404329,0
D-036,District 036,North,Cordania,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.19336655090035984,0
D-036,District 036,North,Cordania,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.0043910717155392995,0
D-036,District 036,North,Cordania,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.0060816259400683385,0
D-036,District 036,North,Cordania,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.004069903485443354,0
D-036,District 036,North,Cordania,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.018709891432957444,0
D-036,District 036,North,Cordania,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.028985730826511926,0
D-036,District 036,North,Cordania,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.003983131289689457,0
D-036,District 036,North,Cordania,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.0006953989242896108,0
D-036,District 036,North,Cordania,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.6160427564547672,1
D-036,District 036,North,Cordania,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.037923123786169445,0
D-036,District 036,North,Cordania,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.19066751319838846,0
D-036,District 036,North,Cordania,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.006318601250778029,0
D-036,District 036,North,Cordania,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.005256004813255182,0
D-036,District 036,North,Cordania,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.028206200868176233,0
D-036,District 036,North,Cordania,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.006061150591950078,0
D-036,District 036,North,Cordania,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.03264329554680685,0
D-036,District 036,North,Cordania,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.004634749310113069,0
D-037,District 037,Central,Belvaria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.11902119730965822,0
D-037,District 037,Central,Belvaria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.42626293619236094,0
D-037,District 037,Central,Belvaria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.013484817189040835,0
D-037,District 037,Central,Belvaria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.018611000175580948,0
D-037,District 037,Central,Belvaria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.012506876908741768,0
D-037,District 037,Central,Belvaria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.055795534021892475,0
D-037,District 037,Central,Belvaria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.08468183604785691,0
D-037,District 037,Central,Belvaria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.012242435767393941,0
D-037,District 037,Central,Belvaria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.0021520879830538675,0
D-037,District 037,Central,Belvaria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.8325700165711065,1
D-037,District 037,Central,Belvaria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.10886703137051026,0
D-037,District 037,Central,Belvaria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.42201384911260625,0
D-037,District 037,Central,Belvaria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.019326698996164928,0
D-037,District 037,Central,Belvaria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.016112006593556185,0
D-037,District 037,Central,Belvaria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.08253175049350191,0
D-037,District 037,Central,Belvaria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.018549128738730093,0
D-037,District 037,Central,Belvaria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.09468212342994024,0
D-037,District 037,Central,Belvaria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.01422593123907719,0
D-038,District 038,East,Azuria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.09394513808357632,0
D-038,District 038,East,Azuria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.36313760739780776,0
D-038,District 038,East,Azuria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.0103817352588714,0
D-038,District 038,East,Azuria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.014345451318666037,0
D-038,District 038,East,Azuria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.009626639394830352,0
D-038,District 038,East,Azuria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.043384228912658675,0
D-038,District 038,East,Azuria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.06629614773878645,0
D-038,District 038,East,Azuria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.009422515926386502,0
D-038,District 038,East,Azuria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.0016524882020792695,0
D-038,District 038,East,Azuria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.7923740041207584,1
D-038,District 038,East,Azuria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.08572214471055274,0
D-038,District 038,East,Azuria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.3591238979380304,0
D-038,District 038,East,Azuria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.014899605922222304,0
D-038,District 038,East,Azuria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.012411970803205444,0
D-038,District 038,East,Azuria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.06457994178680558,0
D-038,District 038,East,Azuria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.014297553914843901,0
D-038,District 038,East,Azuria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.07430147305310682,0
D-038,District 038,East,Azuria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.010954200268403318,0
D-039,District 039,North,Cordania,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.05940128722404387,0
D-039,District 039,North,Cordania,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.2577715059444732,0
D-039,District 039,North,Cordania,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.006349035688004114,0
D-039,District 039,North,Cordania,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.00878674952919438,0
D-039,District 039,North,Cordania,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.005885506202188254,0
D-039,District 039,North,Cordania,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.02688018928579101,0
D-039,District 039,North,Cordania,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.04145375492304047,0
D-039,District 039,North,Cordania,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.005760248417085627,0
D-039,District 039,North,Cordania,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.001007141920951569,0
D-039,District 039,North,Cordania,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.6991983364465052,1
D-039,District 039,North,Cordania,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.05402163139235974,0
D-039,District 039,North,Cordania,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.2544570810258236,0
D-039,District 039,North,Cordania,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.009128164033900084,0
D-039,District 039,North,Cordania,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.007596696772562724,0
D-039,District 039,North,Cordania,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.04035284981863234,0
D-039,District 039,North,Cordania,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.008757246935671934,0
D-039,District 039,North,Cordania,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.04660907941199548,0
D-039,District 039,North,Cordania,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.006700637025982511,0
D-040,District 040,West,Azuria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.11672710890251434,0
D-040,District 040,West,Azuria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.42087602206118735,0
D-040,District 040,West,Azuria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.013194436596966647,0
D-040,District 040,West,Azuria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.018212270786811067,0
D-040,District 040,West,Azuria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.012237293950643763,0
D-040,District 040,West,Azuria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.054644506986287006,0
D-040,District 040,West,Azuria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.08298727756969436,0
D-040,District 040,West,Azuria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.011978483637705593,0
D-040,District 040,West,Azuria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.002105224376809466,0
D-040,District 040,West,Azuria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.8294718280759206,1
D-040,District 040,West,Azuria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.10674494626823883,0
D-040,District 040,West,Azuria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.41664163807582055,0
D-040,District 040,West,Azuria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.018912931693660536,0
D-040,District 040,West,Azuria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.015765956518660983,0
D-040,District 040,West,Azuria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.08087641548244875,0
D-040,District 040,West,Azuria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.018151700390536176,0
D-040,District 040,West,Azuria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.09280774076495117,0
D-040,District 040,West,Azuria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.0139198167612486,0
D-041,District 041,East,Belvaria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.09696724475200465,0
D-041,District 041,East,Belvaria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.3712709068271263,0
D-041,District 041,East,Belvaria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.010747590299714276,0
D-041,District 041,East,Belvaria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.014848892852951172,0
D-041,District 041,East,Belvaria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.009966152640906414,0
D-041,District 041,East,Belvaria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.04486037969128905,0
D-041,District 041,East,Belvaria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.06849605800929852,0
D-041,District 041,East,Belvaria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.00975490103489659,0
D-041,District 041,East,Belvaria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.001711254254629536,0
D-041,District 041,East,Belvaria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.7980737433908816,1
D-041,District 041,East,Belvaria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.08850556651812079,0
D-041,District 041,East,Belvaria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.36721913590894345,0
D-041,District 041,East,Belvaria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.015422190756085584,0
D-041,District 041,East,Belvaria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.012848442972121886,0
D-041,District 041,East,Belvaria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.06672697291010381,0
D-041,District 041,East,Belvaria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.01479933976862504,0
D-041,District 041,East,Belvaria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.0767451904417243,0
D-041,District 041,East,Belvaria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.011339997953550585,0
D-042,District 042,East,Azuria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.09700979654680034,0
D-042,District 042,East,Azuria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.37138432585304654,0
D-042,District 042,East,Azuria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.010752757148360303,0
D-042,District 042,East,Azuria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.01485600177214905,0
D-042,District 042,East,Azuria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.009970947603928184,0
D-042,District 042,East,Azuria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.0448812020597049,0
D-042,District 042,East,Azuria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.06852706399967365,0
D-042,District 042,East,Azuria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.0097595953614703,0
D-042,District 042,East,Azuria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.0017120844496869613,0
D-042,District 042,East,Azuria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.798152028146723,1
D-042,District 042,East,Azuria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.08854476919442442,0
D-042,District 042,East,Azuria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.3673320403263024,0
D-042,District 042,East,Azuria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.01542956984337151,0
D-042,District 042,East,Azuria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.012854606670993158,0
D-042,District 042,East,Azuria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.06675723548264778,0
D-042,District 042,East,Azuria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.014806425320800452,0
D-042,District 042,East,Azuria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.07677962276589034,0
D-042,District 042,East,Azuria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.011345446332870473,0
D-043,District 043,South,Azuria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.06725533110595724,0
D-043,District 043,South,Azuria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.2839365288863425,0
D-043,District 043,South,Azuria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.007242517320572921,0
D-043,District 043,South,Azuria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.01001982436926038,0
D-043,District 043,South,Azuria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.006714197429525787,0
D-043,District 043,South,Azuria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.030574059658662903,0
D-043,District 043,South,Azuria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.04705348500071227,0
D-043,District 043,South,Azuria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.0065714196771964875,0
D-043,District 043,South,Azuria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.0011497439648425333,0
D-043,District 043,South,Azuria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.7263235124812054,1
D-043,District 043,South,Azuria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.06121066533287349,0
D-043,District 043,South,Azuria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.2804127768550283,0
D-043,District 043,South,Azuria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.010408647629316068,0
D-043,District 043,South,Azuria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.008664227197607028,0
D-043,District 043,South,Azuria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.04581097284912294,0
D-043,District 043,South,Azuria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.009986223286600746,0
D-043,District 043,South,Azuria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.05286680156655694,0
D-043,District 043,South,Azuria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.0076432179074443244,0
D-044,District 044,Central,Belvaria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.07932510580908342,0
D-044,District 044,Central,Belvaria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.3214894742936932,0
D-044,District 044,Central,Belvaria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.00864206010530283,0
D-044,District 044,Central,Belvaria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.011949593514089519,0
D-044,District 044,Central,Belvaria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.008012471751104581,0
D-044,District 044,Central,Belvaria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.036317251731704026,0
D-044,District 044,Central,Belvaria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.05571435125441065,0
D-044,District 044,Central,Belvaria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.00784230410163647,0
D-044,District 044,Central,Belvaria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.001373549256881763,0
D-044,District 044,Central,Belvaria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.7602647824804365,1
D-044,District 044,Central,Belvaria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.07227971410748761,0
D-044,District 044,Central,Belvaria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.317706454196181,0
D-044,District 044,Central,Belvaria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.012412363318204925,0
D-044,District 044,Central,Belvaria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.010335640715289947,0
D-044,District 044,Central,Belvaria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.0542561581778255,0
D-044,District 044,Central,Belvaria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.011909598879214731,0
D-044,District 044,Central,Belvaria,I17,Early Warning System Upgrade (Standard),both,1279000,0.138,17,0.06252748229226783,0
D-044,District 044,Central,Belvaria,I18,Critical Facility Resilience (Enhanced),both,694000,0.167,20,0.009119480718897495,0
D-045,District 045,South,Azuria,I01,Drainage Rehabilitation (Basic),flood,969000,0.12,13,0.0669300846689644,0
D-045,District 045,South,Azuria,I02,River Embankment Reinforcement (Standard),flood,1263000,0.149,14,0.28288120925515486,0
D-045,District 045,South,Azuria,I03,Flood Shelter Retrofit (Enhanced),flood,638000,0.24,22,0.007205250644382359,0
D-045,District 045,South,Azuria,I04,Watershed Reforestation (Basic),flood,459000,0.118,22,0.009968410438663021,0
D-045,District 045,South,Azuria,I05,Early Warning System Upgrade (Standard),both,488000,0.19,22,0.006679630954463699,0
D-045,District 045,South,Azuria,I06,Critical Facility Resilience (Enhanced),both,471000,0.277,19,0.030420418272929305,0
D-045,District 045,South,Azuria,I07,Green Infrastructure (Urban) (Basic),both,880000,0.162,16,0.04682103053589041,0
D-045,District 045,South,Azuria,I08,Water Storage & Distribution (Standard),both,381000,0.206,19,0.006537583422012261,0
D-045,District 045,South,Azuria,I09,Community Response Training (Enhanced),both,518000,0.197,22,0.0011437917889366876,0
D-045,District 045,South,Azuria,I10,Heat-Resilient Roofing Subsidy (Basic),heat,344000,0.119,13,0.7252893775645217,1
D-045,District 045,South,Azuria,I11,Cooling Centers & Outreach (Standard),heat,532000,0.192,14,0.06091274187930179,0
D-045,District 045,South,Azuria,I12,Reflective Road Surface (Enhanced),heat,1042000,0.2,16,0.2793654444833938,0
D-045,District 045,South,Azuria,I13,Drainage Rehabilitation (Basic),flood,1113000,0.152,20,0.010355259430021024,0
D-045,District 045,South,Azuria,I14,River Embankment Reinforcement (Standard),flood,897000,0.198,21,0.008619708570927144,0
D-045,District 045,South,Azuria,I15,Flood Shelter Retrofit (Enhanced),flood,777000,0.243,14,0.045584363039238636,0
D-045,District 045,South,Azuria,I16,Watershed Reforestation (Basic),flood,603000,0.147,18,0.0099349800403032,0
